I10_DX,freq
I10,0.028298897456105428
E785,0.02119776728767702
K219,0.016477221946879648
Z87891,0.016404098180843197
I2510,0.013146028160774786
Z370,0.012146670024943329
Z7982,0.011577929622437621
F17210,0.011553555033758805
F329,0.010927940591002527
F419,0.010854816824966078
E039,0.010204827793530984
E119,0.008466107134442106
Z79899,0.008271110425011578
E669,0.008100488304259865
D649,0.00788924186904346
J45909,0.007807993240114073
N179,0.0077186197482917475
E6601,0.007320501466537752
E876,0.007214878248929549
D62,0.0071417544828931015
J449,0.00696300749924845
G4733,0.006711136749567351
Z7901,0.006638012983530903
Z794,0.0064267665483144975
E860,0.006280519016241601
N390,0.0053867840980183455
M1990,0.0052161619772666335
Z3A39,0.00498866581626435
Z880,0.004972416090478473
E871,0.004956166364692596
Z7984,0.004915542050227903
I110,0.004850543147084393
K5900,0.0048099188326197
Z8249,0.004777419381047945
Z8673,0.0046717961634397415
E1122,0.004614922123189171
I4891,0.004598672397403294
N183,0.004574297808724478
G8929,0.004541798357152723
E7800,0.004525548631366846
Z66,0.004419925413758643
I129,0.004395550825079827
J189,0.004306177333257501
I480,0.004038056857790525
I252,0.004013682269111709
Z23,0.004013682269111709
E872,0.00400555740621877
Z955,0.003997432543325832
Z888,0.003834935285467058
A419,0.0037943109710023644
J9601,0.003778061245216487
E1165,0.0036968126162871
Z9049,0.0035261904955353877
Z951,0.003477441318177756
R45851,0.0033474435118907367
I130,0.0032824446087472274
Z6841,0.0032336954313895955
I959,0.0031524468024602087
Z86718,0.002941200367243803
G40909,0.0029005760527791094
N400,0.0028924511898861705
E8342,0.002851826875421477
J441,0.0028355771496356
D72829,0.0027705782464920903
R0902,0.0027218290691344584
D696,0.0026974544804556425
Z882,0.002624330714419194
Z885,0.0025918312628474393
Z90710,0.0025918312628474393
D509,0.0025674566741686233
Z9981,0.0024862080452392366
G4700,0.002478083182346298
J9811,0.002469958319453359
F17200,0.002445583730774543
N189,0.0024293340049886657
I739,0.0024130842792027883
Z3A40,0.0023887096905239723
E875,0.002380584827631034
I482,0.002356210238952218
Z7902,0.002348085376059279
I509,0.0022749616100228307
Z881,0.002266836747129892
F0390,0.002266836747129892
F909,0.0022587118842369537
O701,0.002201837843986383
Z9114,0.002201837843986383
M810,0.002193712981093444
F4310,0.0021612135295216895
R000,0.0021612135295216895
M109,0.002136838940842873
Z950,0.002136838940842873
Z833,0.0020799649005923027
I5032,0.0020637151748064252
O76,0.0020555903119134863
O700,0.0020393405861276093
O34211,0.0020393405861276093
O99824,0.0020068411345558544
F319,0.001990591408769977
N186,0.001958091957198222
Z3A38,0.001958091957198222
D631,0.0019418422314123448
R739,0.0019337173685194063
J440,0.0018930930540547127
F1290,0.0018930930540547127
G4730,0.0018930930540547127
R1310,0.0018768433282688355
Z515,0.0018687184653758968
O480,0.0018362190138041421
Z9119,0.0018362190138041421
K449,0.0018199692880182647
I272,0.001811844425125326
I214,0.001811844425125326
I350,0.0017955946993394487
E559,0.0017955946993394487
O6981X0,0.0017712201106606326
Z6842,0.0017224709333030005
J90,0.0016980963446241845
I429,0.001681846618838307
Z681,0.0016737217559453683
E43,0.0016655968930524298
I340,0.0016574720301594911
Y838,0.0016574720301594911
G629,0.0016574720301594911
R339,0.0016493471672665524
G43909,0.0016493471672665524
F1010,0.001633097441480675
M549,0.0016249725785877362
